Год;Месяц;Канал;Бренд;Диапазон веса;Сумма (в 1000);Штуки (в 1000 шт);Штуки (в шт);Точки;Офтейк (штук на точку);Цена за штуку;Средний вес;Цена за грамм; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2021;3;Supermarkets;Green;200-249G;8 375,87;160,76;160760;11876;14;52,10;224,5;0,23;;;;;;;;;;;;;;
2021;3;Supermarkets;Green;350-399G;12 122,70;128,30;128301;15756;8;94,49;374,5;0,25;;;;;;;;;;;;;;
2021;3;Supermarkets;Green;400-599G;1 390,04;10,49;10490;762;14;132,51;499,5;0,27;;;;;;;;;;;;;;
2021;3;Supermarkets;Green;600-899G;1,28;0,01;8;3;3;160,61;749,5;0,21;;;;;;;;;;;;;;
2021;3;Supermarkets;Blue;200-249G;12,61;0,08;84;48;2;150,18;224,5;0,67;;;;;;;;;;;;;;
2021;3;Supermarkets;Blue;400-599G;6 994,55;36,17;36169;1692;21;193,39;499,5;0,39;;;;;;;;;;;;;;
2021;3;Supermarkets;Yellow;350-399G;1 774,12;26,16;26158;1981;13;67,82;374,5;0,18;;;;;;;;;;;;;;
2021;3;Supermarkets;Deep;<200G;504,26;1,78;1775;95;19;284,04;200;1,42;;;;;;;;;;;;;;
2021;3;Supermarkets;Deep;350-399G;6,12;0,02;19;8;2;322,17;374,5;0,86;;;;;;;;;;;;;;
2021;3;Supermarkets;Deep;400-599G;47,77;0,10;97;62;2;495,06;499,5;0,99;;;;;;;;;;;;;;
2021;3;Supermarkets;Black;200-249G;151,43;3,22;3219;717;4;47,04;224,5;0,21;;;;;;;;;;;;;;
2021;3;Supermarkets;Black;400-599G;395,92;2,60;2595;1914;1;152,56;499,5;0,31;;;;;;;;;;;;;;
2021;3;Supermarkets;Red;350-399G;481,70;2,74;2741;353;8;175,77;374,5;0,47;;;;;;;;;;;;;;
2021;3;Supermarkets;Dim;<200G;0,99;0,00;2;1;2;495,31;200;2,48;;;;;;;;;;;;;;
2021;3;Supermarkets;Dim;350-399G;28,39;0,06;62;1;62;458,57;374,5;1,22;;;;;;;;;;;;;;
2021;3;Supermarkets;Dim;400-599G;255,43;0,46;461;1;461;553,72;499,5;1,11;;;;;;;;;;;;;;
2021;3;Supermarkets;Vivid;<200G;64,17;0,35;353;77;5;181,93;200;0,91;;;;;;;;;;;;;;
2021;3;Supermarkets;Vivid;350-399G;211,27;1,01;1013;87;12;208,64;374,5;0,56;;;;;;;;;;;;;;
